Company Name,Latitude,Longitude,Address,City,State,Country,Industry,Revenue,Website,Phone,Email,Potential,Company Type,Product Category,Product Name,Employee,Employee Details
a b cotspin india ltd,30.2210907,74.9387993,"53 Homeland Enclave Goniana Road, Bathinda-151001 Bathinda Punjab",Bathinda,Punjab,India,Textile,,https://www.abcotspin.in/,0164-2270751 /01635-232670 / 9216300069,info@abcotspin.in,,Manufacturer,,,"""person 1 name=Deepak Garg, person 1 role=Director, person 1 number=0-92163 00069, person 1 email=, person 2 name=Manohar Lal, person 2 role=Director, person 2 number=, person 2 email=info@abcotspin.in, person 3 name=Rahul Goyal, person 3 role=Director, person 3 number=0-98886 14100, person 3 email=, person 4 name=Sourabh Dua, person 4 role=CEO, person 4 number=0-98147 48972, person 4 email=sourabh_dua@yahoo.com/sourabh.dua@osw, person 5 name=Rakesh Shama, person 5 role=Unit Head, person 5 number=0-98785 54417/ 98290 45577, person 5 email=, person 6 name=Arun Kumar, person 6 role=, person 6 number=0-88720 12702, person 6 email=""",
a i champdany industries ltd,22.5679845,88.3549404,"25, Princep Street, Kolkatta-700072 West Bengal",Kolkata,West Bengal,India,Textile,,http://www.jute-world.com,033 2237 7880 - 85 / 2225 1050 / 7924,cil@ho.champdany.co.in aijmmiddlemill@gmail.com aicilinvestors@gmail.com,,Manufacturer,Jute Products|Textiles|Industrial Applications|Eco-friendly Solutions|Packaging|Home and Lifestyle Products,Hessian Cloth|Sacking Bags|Carpet Backing Cloth (CBC)|Jute Yarns|Twines|Geotextiles|Jute-based Shopping Bags|Lifestyle Products|Hessian Fabrics / Burlap|Hessian Jute Bags Food/Regular Grades|Jute Tapes|Jute Soil Saver / Erosion Control Blankets|Jute Leno Scrim Cloth|Hessian Rolls / Sheets|Jute Ropes|Hessian Plasterised Scrim,"""person 1 name=Giridhan Goswami, person 1 role=Director, person 1 number=0-93310 29102, person 1 email=joyparents@yahoo.com, person 2 name=Nirmal Pujara, person 2 role=Director, person 2 number=0-9831016405, person 2 email=ngpujara@gmail.com /cil@ho.champdany.co.in, person 3 name=Ramya Hariharan, person 3 role=Director, person 3 number=, person 3 email=aicilinvestors@gmail.com, person 4 name=Surajit Sen, person 4 role=Controller - Finance, person 4 number=0-93398 67043, person 4 email=, person 5 name=Lalanjee Jha, person 5 role=Director, person 5 number=0-98830 68624, person 5 email=""",
a i enterprises pvt ltd,13.0872045,80.2259857,"F-41/A 2nd Street, Annanagar East Chennai-600102 Chennai Tamil Nadu",Chennai Corporation,Tamil Nadu,India,Textile,,no website,044-4292 0110 / 9841087258,sameena@aie-group.com,,,,,"""person 1 name=Hajee Iqbal Hajee Ebrahim, person 1 role=Director, person 1 number=0-90949 47183, person 1 email=hajiaie@gmail.com, person 2 name=Hajee Ebrahim Abdul Azeez, person 2 role=Director, person 2 number=0-98410 78610, person 2 email=azeez@aie-group.com, person 3 name=Atheeq Ur Rehman, person 3 role=Director, person 3 number=0-7299962311, person 3 email=ateeq@aie-group.com, person 4 name=Sameena Aziz, person 4 role=Director, person 4 number=0-9841087116, person 4 email=sameena@aie-group.com""",
a k soni hosiery mill pvt ltd,30.9165531,75.8712817,"5381/1-A, Soni Building, Gaushala Road, Madhopuri Ludhiana-141008 Ludhiana Punjab",Ludhiana,Punjab,India,Textile,,no website,0161 270 0085 /2700 134 / 9815970134,rajesh_mehru@yahoo.com sanjeevsoni145@gmail.com raj021948@gmail.com,,,,,"""person 1 name=Sanjeev Kumar, person 1 role=Director, person 1 number=0-98159 70134, person 1 email=sanjeevsoni145@gmail.com, person 2 name=Anand Kumar Soni, person 2 role=Director, person 2 number=0-99140 18899, person 2 email=anandkumarsoni1938@gmail.com, person 3 name=Raj Rani, person 3 role=Director, person 3 number=0-98140 01785, person 3 email=rajesh_mehru@yahoo.com""",
a k spintex ltd,25.2197002,74.6107628,"14th K.M. Stone, Chittorgarh Road, Village : Biliya Kalan, Bhilwara-311001 Girwa Udaipur Rajasthan",Khaira Bad,Rajasthan,India,Textile,,https://sunrakshakk.com/,9887049006/9929139002,info@akspintex.com akspintex@gmail.com,,Manufacturer,Textiles|FMCG|FMCG Intermediate Chemicals|Edibles,Fabric Printing|Fabric Dyeing|Stitch Fabric|Design Fabric|Cotton Velvet|Synthetics Wool|Cotton Fabric|Eco-friendly Fabric|Soap Noodle|Detergent|Toothpaste|Bath Soap|Savories|Spices,"""person 1 name=Divya Praveen Kothari, person 1 role=Director, person 1 number=, person 1 email=akspintex@gmail.com""",
a one tex pvt ltd,28.9240465,77.1028668,"Plot No - 2046, Phase - 2, Industrial Estate Rai, Rai-131029 Sonipat Haryana",Badh Khalsa,Haryana,India,Textile,,https://www.aonenonwoven.com/,"0130-2368096 / 97 / 0-8572813010, 8221001356, 8572813009, 8221005785",directoraone@yahoo.com info@aonenonwoven.com info@aonenonwoven.com / atul.verma@aonenonwoven.com,,Manufacturer,Non Woven Fabric|Non Woven Home Furnishings|Non Woven Hygiene Products|Non Woven Covers|Non Woven Surgical Disposables|Non Woven Bags|Packaging|Health and Hygiene|Medical Fabrics|Agri Fabrics,PP Spun Bonded Non Woven Fabric|Non Woven Fabric|Non Woven Pillow Covers|Non Woven Sanitary Napkins|Non Woven Cotton Bale Covers|Non Woven Surgical Face Masks|Gudget Bags|PPE Kit for Covid-19,"""person 1 name=Rajan Kohli, person 1 role=Director, person 1 number=, person 1 email=info@aonenonwoven.com, person 2 name=Chirag Goswami, person 2 role=Dy. General Manager -Marketing, person 2 number=0-94662 02410/95461 22702, person 2 email=""",
a p fashions pvt ltd,22.873796,88.4100345,9 M M Goswami Road Khardha Kol Kolkatta-700117 West Bengal,Naihati,West Bengal,India,Textile,,http://www.apfashions.net,9681269714,mail@apfashions.net,,,,,"""person 1 name=Amit Jhunjhunwala, person 1 role=Director, person 1 number=, person 1 email=mail@apfashions.net""",
a r polymers pvt ltd,26.4150004,80.3788418,"13, Gandhi Gram, G T Road, Kanpur-208007 Kanpur Nagar Uttar Pradesh",Kanpur,Uttar Pradesh,India,Textile,,https://arpolymers.in/,0512-2363491/2354644,info@gkggroup.com info@arp.org.in,,,,,"""person 1 name=Shobhit Khandelwal, person 1 role=Director, person 1 number=090050 94929 /0-83186 40283, person 1 email=, person 2 name=Anurag Gupta, person 2 role=Director, person 2 number=, person 2 email=info@arp.org.in""",
a v spinners,29.3755407,76.9725271,"232/1, Gali No. 4 Shivnagar Panipat-132103 Panipat Panipat Haryana",Panipat,Haryana,India,Textile,,no website,9416018713,guptaankit188@gmail.com,,,,,"""""",
aaa textiles pvt ltd,11.0858488,77.1610433,"3/161 Ponnandampalayam Kaniyur, Karumathampatti Via, Karumathampatti-641659 Coimbatore Tamil Nadu",Somanur,Tamil Nadu,India,Textile,,no website,0-73730 73509,accounts@atktextiles.com,,,,,"""person 1 name=G Rengasamy, person 1 role=, person 1 number=0-73730 73509, person 1 email=, person 2 name=Thathaya Krishnasamy Ponraj, person 2 role=Director, person 2 number=, person 2 email=accounts@atktextiles.com""",
aabhas spinners pvt ltd,30.889708,75.9164164,"C- 90, Focal Point Phase 5, Near Eastman Impex, Behind Bajaj Sons, Ludhiana-141010 Ludhiana Punjab",Mundian Kalan,Punjab,India,Textile,,no website,0161-2674596 /2674 689/2660 677 / 9463453123/9988740077,aabhasspinners@gmail.com,,,,,"""person 1 name=Tripta Dalmia, person 1 role=Director, person 1 number=, person 1 email=aabhasspinners@gmail.com""",
aadhi vinayaga spinners,11.0796768,76.998012,"No 5 / 36 B S F No 387 / 1 B, Thudiyalur Road, Saravanampatti Saravanampatti-641035 Coimbatore Tamil Nadu",Coimbatore,Tamil Nadu,India,Textile,,no website,0422-2972549 / 9360065549/9360065546/9952765549,avs_cbe@yahoo.com,,,,,"""person 1 name=J Rajesh, person 1 role=Director, person 1 number=93600 65549, person 1 email=""",
aakar processors pvt ltd,19.0535895,72.8765309,"Gala No. 116, Bldg. No. 9, Jogani Industrial Estate V. N. Purav Marg, Chunabhatti, Mumbai-400022 Mumbai Maharashtra",Mumbai,Maharashtra,India,Textile,,http://www.aakarsynthetics.com/,022 24053080/24057090 / 9825118941,info@aakar.com aakar.kp@gmail.com aakarsynthetics@gmail.com,,,,,"""person 1 name=Navalkishore Liladhar Rathi, person 1 role=Director, person 1 number=, person 1 email=aakar.kp@gmail.com""",
aakash polyester pvt ltd,21.1360993,72.7498455,"515, 5th Floor, Rajhans Montesa Complex, Near TGB Hotel, Dumas Road, Surat-395001 Surat Gujarat",,Gujarat,India,Textile,,https://www.aakashbicotex.com/,02629-234137 / 90810-40500,akashpoly@yahoo.com info@bicotex.in,,,,,"""person 1 name=Vimal Yogesh Chandra Gulati, person 1 role=Director, person 1 number=, person 1 email=akashpoly@yahoo.com""",
aakavi spinning mills pvt ltd,11.3810201,77.7009971,"No 2 A, Bhavani Main Road Peria Agraharam Peria Agraharam-638005 Erode Tamil Nadu",Periyasemur,Tamil Nadu,India,Textile,,https://aakavispinningmills.com/,0424-229 2221 / 9842728981/9842728980/98429-21333,aakavigroups@gmail.com,,,,,"""person 1 name=Ramasamy Selvaraj, person 1 role=Director, person 1 number=, person 1 email=aakavigroups@gmail.com""",
aalishan eco textile park pvt ltd,29.6411335,76.9811914,"80 Mile Stone,NH-1(New NH-44) G T Road,Village Diwana Panipat-132103 Panipat Haryana",Kambohpura,Haryana,India,Textile,,http://aalishaneco.com/,8950690021,info@aalishaneco.com office.inderjeetgera@gmail.com / aalishanecotextilepark@gmail.com,,,,,"""person 1 name=Vidhi Gupta, person 1 role=Director, person 1 number=, person 1 email=office.inderjeetgera@gmail.com""",
aananda lakshmi spinning mills ltd,17.4424741,78.4897344,"Surya Towers, 6th Floor, 105, Sardar Patel Road Secunderabad-500003 Rangareddy Telangana",Hyderabad,Telangana,India,Textile,,https://aanandalakshmi.com/,040-30512700/30512725,info@aanandalakshmi.com,,Manufacturer|Trader|Real Estate Developer,Real Estate|Textiles,Cotton Linters|Aananda Enclave (Real Estate Project)|Suryavanshi New Leaf (Real Estate Project),"""person 1 name=Devender Kumar Agarwal, person 1 role=Director, person 1 number=, person 1 email=info@aanandalakshmi.com""",
aanchal prints pvt ltd,21.1918388,72.8423518,"2014-15, Gopi Market, Ring Road Surat-395002 Surat Gujarat",Surat,Gujarat,India,Textile,,no website,0261-2899688/2891467,,,,,,"""person 1 name=Ankit Gupta, person 1 role=, person 1 number=0261-2899688, person 1 email=""",
aarti suitings pvt ltd,25.3361021,74.6040986,B-4 Bapu Nagar Pur Road Bhilwara-311001 Girwa Udaipur Rajasthan,Bhilwara,Rajasthan,India,Textile,,no website,01482-243980 / 260283 / 9414114772/9461041694/9413336477,aartisuitings@gmail.com,,,,,"""person 1 name=Madhur Jindal, person 1 role=Director, person 1 number=0-94141 14772, person 1 email=aartisuitings@gmail.com""",
aarti yarnfab pvt ltd,29.5346648,76.977548,"Village :Alipur Khalsa, Tehsil- Gharaunda Gharunda-132114 Karnal Haryana",Gharaunda,Haryana,India,Textile,,https://www.aartiyarnfab.com,0-72060-59461 /0-72060-19461,sudhir@aartiyarnfab.com accounts@aartiyarnfab.com,,Manufacturer|Exporter|Trader,Cotton Yarns|Poly Cotton Yarns|Home Textiles,Ring Spun Carded Cotton Yarn|Ring Spun Combed Cotton Yarn|Ring Spun Compact Cotton Yarn|Open End Cotton Yarn|Ring Spun Carded Polyester Cotton Yarn|Ring Spun Combed Polyester Cotton Yarn|Open End Polyester Cotton Yarn,"""person 1 name=Sudhir Kumar, person 1 role=Director, person 1 number=72060-59461, person 1 email=, person 2 name=Amit Goel, person 2 role=Director, person 2 number=, person 2 email=accounts@aartiyarnfab.com""",
aarvee denims and exports ltd,22.970913,72.568081,"188/2, Ranipur Village, Opp. CNI Church Narol Ahmedabad-382405 Ahmedabad Gujarat",Piplaj,Gujarat,India,Textile,,https://www.aarvee-denims.com,079-68147000 / +91-079-40707000 / 9825600689/9825600690,grievance@aarvee-denims.com info@aarvee-denims.com rajesharora@aarvee-denims.com,,,,,"""""",
aarya fash tex pvt ltd,22.9090774,72.4294366,"Survey No. 212/1, Near Arvee Denim Sarkhej-Bhavla Highway, Sari Village Ahmedabad-382213 Ahmedabad Gujarat",,Gujarat,India,Textile,,no website,079-6543 3997 / 9099099504,dhruv.patel@dtmpl.com,,,,,"""person 1 name=Dhruv Narendrabhai Patel, person 1 role=Director, person 1 number=, person 1 email=""",
aashirwad textile park,21.4860689,72.9888685,"Village Mahuvej, Mangrol Tehsil Dist.- Surat Mahuvej-394125 Surat Gujarat",,Gujarat,India,Textile,,no website,9376791351,aashirwadtextilepark@rediffmail.com,,,,,"""person 1 name=Ashok Kumar Singhal, person 1 role=, person 1 number=9376791351, person 1 email=""",
aastha fashions pvt ltd,21.0918582,72.8572323,"Plot No. 702, Road No. 7 GIDC Estate, Sachin Sachin-394230 Surat Gujarat",,Gujarat,India,Textile,,https://aasthafashion.in,0261-2398561/2398562,,,Retailer|Distributor,Sarees|Lehenga Choli|Salwar Kameez,Meenakari Zari Woven Paithani Silk Traditional Saree|Woven Border Raw Silk Saree|Banarasi Silk Saree|Kanjivaram Saree|Paithani Saree|Raw Silk Saree|Organza Saree|Cotton Saree|South Silk Saree|Tussar Saree|Georgette Saree|Linen Saree,"""person 1 name=Jugal Kishore, person 1 role=, person 1 number=, person 1 email=""",
aastha spintex pvt ltd,23.013705,71.1823868,"1 Rameshwar Complex Opp Sandipani, Halvad Malaviya Highway Halvad-363330 Surendra Nagar Gujarat",Halvad,Gujarat,India,Textile,,https://aasthaspintex.com,9825488883,aastha.spintex@gmail.com sales@aasthaspintex.com / purchase@aasthaspintex.com,,Manufacturer|Processor|Exporter|Importer|Distributor|Retailer|Wholesaler,Cotton Spin Yarn|Textile|Yarns|Fibres|Fabrics,"Cotton Spin Yarn (Card, Combed, Combed Compact for Warp Yarn and Hosiery Yarn)|Combed Yarn|Combed Compact Yarn|Comber|Flat|Lickerin","""""",
aathava garments india pvt ltd,11.034576,77.0155603,"S.F.No.405/1, Bharathi Industrial Area, 1st Street, Nava India Stop, Peelamedu, Peelamedu-641004 Coimbatore Tamil Nadu",Coimbatore,Tamil Nadu,India,Textile,,https://www.aathavagarments.com,"0422-2565716, 2565717, 2567975 / 9003931588/9994034551",contact@aathavagarments.com info@aathavagarments.com,,Manufacturer|Exporter,Woven Garments|Knitted Garments|Men's Apparel|Women's Apparel|Boys' Apparel|Girls' Apparel|Babies' Apparel|Accessories|Fabrics,Men's Shirts|Men's Sleepwear|Men's Jam Pants|Men's Boxers|Men's Bath Robes|Men's Shorts|Men's Sleep Pant|Men's T-Shirt|Women's Tunics|Women's Pyjamas|Boys' Shirts|Boys' Sets|Boys' Nightwear|Boys' Trousers|Boys' Uniform|Girls' Dress|Girls' Nightwear|Girls' Uniform|Babies' Shirts|Babies' Sets|Babies' Trousers|Babies' Rompers|Shopping Bags|Muslin Wraps,"""person 1 name=Premasree Shabariegambaram, person 1 role=Director, person 1 number=, person 1 email=info@aathavagarments.com""",
aayush tex dye co pvt ltd,19.1190164,72.8424781,"Office: 401, Raj Kailash, V.P.Road, Andheri (West) Mumbai-400058 Mumbai Maharashtra",Mumbai,Maharashtra,India,Textile,,https://www.aayushtexdye.com,022-2620 6720 /2620 7298/6572 5612,office@aayushtexdye.com aayush_dye2008@hotmail.com factory@aayushtexdye.com,,Processor,Woven Fabrics|Synthetic Fabrics|Natural Fabrics|Fabric Finishes,Rayon Fabric|Rayon Lycra Fabric|100% Polyester Fabric|Cationic Polyester Fabric|Viscose Fabric|Indigo Fabric|Lyocell Fabric|Tencel Fabric|Nylon Fabric|Cotton Fabric|Cotton Polyester Fabric|Cotton Lycra Fabric|Cationic Cotton Fabric|Cotton Viscose Fabric|Linen Fabric|Embroidery Fabric|Perfume Finish|Antimicrobial Finish|Bio Finish|Water Repellent Finish|Starch Finish|Stain Repellent Finish|Wrinkle Free Finish|Raising Finish|Sueding Finish,"""person 1 name=Aayush Anup Kedia, person 1 role=Director, person 1 number=, person 1 email=aayush_dye2008@hotmail.com""",
abbi textiles pvt ltd,10.3756762,77.9476308,"Survey No. 700, Kamatchipuram Kottapatty Post Kottapatti-624002 Dindigul Tamil Nadu",Dindigul,Tamil Nadu,India,Textile,,https://www.abbietextiles.com,9443021399/98428 71899,xaviercharly@gmail.com jc@abbieoh.com abbieohinfo@gmail.com,,,,,"""person 1 name=Charly Xavier, person 1 role=Director, person 1 number=, person 1 email=xaviercharly@gmail.com, person 2 name=Juan Carlos Arroyo Rosas, person 2 role=Director, person 2 number=0-94430 21399, person 2 email=, person 3 name=D Sekar, person 3 role=, person 3 number=0-98428 71899, person 3 email=""",
abeer textile pvt ltd,23.1360123,72.4439694,"Block no.46/1&560,Arvind ltd Premises Village Khatraj,Taluka Kalol Kalol-382721 Khedbrahma Sabarkantha Gujarat",??????,Gujarat,India,Textile,,https://www.arvind.in,0-9824027080,rv.bhimani@arvind.in,,,,,"""""",
abhi exports,11.0571976,76.9890801,"No. 85, Elango Street, Krishnapuram, Saravanampatti post, Saravanampatti-641035 Coimbatore Tamil Nadu",Chinnavedampatti,Tamil Nadu,India,Textile,,https://abhayabhiexports.com,9092912000/9080141520/9626768000,info@abhiexporters.com abhiexporters@gmail.com,,,,,"""""",
abhinandan knits pvt ltd,30.9351049,75.8749538,"Plot No.19, Guru Vihar, Rahon Road, Village Seera, Ludhiana-141420 Ludhiana Punjab",Gehlewal,Punjab,India,Textile,,no website,9814402671 / 8042307136,abhinandanknits@gmail.com,,,,,"""person 1 name=Puneet Jain, person 1 role=Director, person 1 number=, person 1 email=abhinandanknits@gmail.com""",
abhishek corporation ltd,16.6670953,74.332428,"Gat No. 148, , Tamgaon, Kolhapur-Hupari Road, Tamgaon-416234 Karvir Kolhapur Maharashtra",Kolhapur,Maharashtra,India,Textile,,https://www.abhishekcorporation.com,0231-2676191/2676194 / 0-79722 28352,admin@abhishekcorporation.com arekamitish425@gmail.com,,,,,"""person 1 name=Rama Jawahar Swetta, person 1 role=Director, person 1 number=, person 1 email=admin@abhishekcorporation.com, person 2 name=Nitish Arekar, person 2 role=, person 2 number=79722 28352, person 2 email=, person 3 name=Sitaram, person 3 role=, person 3 number=96235 35077, person 3 email=arekamitish425@gmail.com""",
abi mithra spinning mill pvt ltd,11.1433184,77.0208223,"S F No 244, Vaiyampalayam Via, Kottaipalayam Kottaipalayam-641110 Coimbatore Tamil Nadu",Kovilpalayam,Tamil Nadu,India,Textile,,no website,9787574942/9443069050/7373788799,abimithraspinning@gmail.com,,,,,"""person 1 name=Palanisamy Ramasamy, person 1 role=Director, person 1 number=0-94430 69050, person 1 email=, person 2 name=Balusamy Manikandan, person 2 role=Director, person 2 number=97875 74942, person 2 email=, person 3 name=Murugasamy Mani, person 3 role=Director, person 3 number=, person 3 email=abimithraspinning@gmail.com""",
ac polycoaters pvt ltd,28.7170502,76.8751577,"Plot No.- 248, Sector 17, HSIIDC Bahadurgarh-124507 Jhajjar Haryana",Bahadurgarh,Haryana,India,Textile,,no website,0-92543 00751,acpolycoats@gmail.com,,,,,"""person 1 name=Manmohan Chawla, person 1 role=Director, person 1 number=, person 1 email=acpolycoats@gmail.com""",
accura spintex pvt ltd,22.252121,70.8001915,"Samrat Industrial Area, Opp Gokuldham Gondal Road Rajkot-360002 Rajkot Gujarat",Rajkot,Gujarat,India,Textile,,no website,0-87801 49353,accuraspintex@gmail.com,,,,,"""person 1 name=Prafulkumar Naranbhai Bhalodia, person 1 role=Director, person 1 number=, person 1 email=accuraspintex@gmail.com, person 2 name=Piyushkumar Mansukhlal Sureja, person 2 role=Director, person 2 number=0-87801 49353, person 2 email=""",
ace clothing co pvt ltd,18.9468413,72.8327577,"218, Ashoka Shopping Centre, 1st floor, LT Marg road, Next to G T Hospital, Mumbai-400001 Mumbai Maharashtra",,Maharashtra,India,Textile,,https://www.aceclothing.co.in,022-2208 9559 / 2201 1532,enquiry@aceclothing.co.in chirag@aceclothing.co.in,,Manufacturer,Apparel|Menswear|Women's Wear|Corporate Uniforms|Organic Clothing|Undergarments,Dress shirts|Casual shirts for men|Kaftans|Ladies wear|Casual shirts for women|Corporate Uniforms|Organic clothing|Boxers,"""person 1 name=Rishit Satish Kapadia, person 1 role=Director, person 1 number=, person 1 email=chirag@aceclothing.co.in""",
ace tex,10.6799263,76.9722718,"3/211-B, Thalakarai Village, Zamin Muthur (PO), Pollachi Z. Muthur-642005 Pollachi Coimbatore Tamil Nadu",,Tamil Nadu,India,Textile,,https://www.acetextile.com,04259-261546/ 261569,acetex@rediffmail.com nallasivann@gmail.com acetex07@gmail.com,,,,,"""""",
achiever apparels pvt ltd,28.4306669,76.9952672,"Plot 669, Pace City II Sector 37, Gurgaon-122001 Gurgaon Haryana",Gurugram,Haryana,India,Textile,,https://www.achieverapparels.in,0124-4816000/4179400 /417 9424 /4006 376,accounts@achieverapparels.in marketing@achieverapparels.in,,,,,"""person 1 name=Appinderjit Kaur, person 1 role=Director, person 1 number=, person 1 email=accounts@achieverapparels.in""",
aci oils pvt ltd,26.4869527,80.3262363,"10/505, Allen Ganj, Radha Kuti Kanpur Kanpur-208001 Unnao Uttar Pradesh",Kanpur,Uttar Pradesh,India,Textile,,https://acigroup.in/,0-9919802578/9838107308/,info@acigroup.in harsh@acigroup.in yash@acigroup.in,,Manufacturer,Industrial Workwear|Safety Workwear|High Visibility Clothing|FR & Arc Resistant Clothing|Cold Protective/Freezer Clothing|Active Wear,Basic Coverall|Durable Coverall|Reflective Coverall|High-Visibility Coverall|Shirt-Pant Set|Work Uniform|Comfort Uniform|Bib Trouser|Industrial Overall|Cargo Shorts|Utility Shorts|Cargo Trouser|Utility Trousers|4 Way Stretch Trouser|Stretch Trousers|Sleeveless Bodywarmer|Insulated Vest|Basic Bodywarmer|Work Vest|Holland Bodywarmer|Quilted Vest|Pilot Jacket|Aviation Jacket|PU Coated Rain Jacket|Waterproof Jacket|Multiutility Canvas Jacket|Utility Jacket|Southampton Jacket|Stylish Jacket|Freezer Lite Jacket|Light Cold Jacket|Freezer Mid Jacket|Mid Cold Jacket|Freezer Mid+ Jacket|Advanced Mid Jacket|Freezer Pro Jacket|Extreme Cold Jacket|Softshell Lite Jacket|Flexible Cold Jacket|Single Line Freezer Jacket|Single-Layer Jacket|Freezer Lite Trouser|Freezer Pro Bib Trouser|Heavy-Duty Bib|High Waisted Capri|Work Capri|Yoga Pant|Stretch Pants|Performance Jogger|Active Joggers|T-Shirt|Work T-Shirt|Max Dry Polo|Dry Fit Polo|Fitted Neck Jacket|Fleece Jacket|Warm Fleece|Windbreaker Jacket|Windproof Jacket|Lightweight Skin Jacket|Ultra-Light Jacket|Pro Light Coverall|Light FR Coverall|ProSafe Coverall|Premium FR Coverall|88/12 Light Coverall|Cotton-Blend Coverall|88/12 Pro Shirt|FR Work Shirt|88/12 Pro Trouser|FR Work Trouser|Flame Lite Coverall|Lightweight FR Coverall|Flame Pro+ Coverall|Advanced FR Coverall|Flame Pro Coverall|Professional FR Coverall|Extreme Pro Coverall|Heavy-Duty FR Coverall|ProDenim Jacket|FR Denim Jacket|Sierra Jacket|Rugged FR Jacket|FR Fleece Jacket|Sweat Shirt|FR Sweatshirt|Inner Wear|FR Base Layer|Ignite Blaze Suit|High-Performance FR Suit,"""person 1 name=Harsha Vardhan Agarwal, person 1 role=Director, person 1 number=, person 1 email=123akgarg@gmail.com""",
acknit industries ltd,22.578925,88.435222,"ECO Station' BP-7, Sector-V 5th floor Suit No 504, Salt Lake City, Kolkata-700091 West Bengal",Kolkata,West Bengal,India,Textile,,https://www.acknitindia.com,033-2287 7617/8293 / 08420047801,calcutta@acknitindia.com sales@acknitindia.com/cs@acknitindia.com,,,,,"""""",
acme international ltd,23.0406414,72.5632603,"LP House 3rd Floor Opp. Sports Club, Navrangpura, Ahmedabad-380009 Ahmedabad Gujarat",Navrangpura,Gujarat,India,Textile,,https://www.acmeintl.com,079-4024 4999,contact@acmeintl.com,,Sourcing Company|Distributor,Textile Products|Cotton|Yarn|Greige Fabric|Knitted Fabric|Denim|Home Textiles|Garments|Specialty Yarn,Cotton|Yarn|Greige|Knitted|Denims|Home Textiles|Garments|Special Yarn Collection,"""""",
acme yarns pvt ltd,23.0406414,72.5632603,"LP House: 3 Shreyas Colony, Opp. Sardar Patel Stadium Ahmedabad-380009 Ahmedabad Gujarat",Navrangpura,Gujarat,India,Textile,,https://www.acmeyarns.com,079-4024 4999/40244900,contact@acmeintl.com,,Manufacturer,Textiles|Cotton|Cotton Waste|Yarn|Fabrics|Denim|Made-ups|Home Textiles|Garments,Cotton|Cotton Waste|Cotton Yarns|Fabrics|Denim|Made-ups,"""""",
acsen tex india pvt ltd,11.0041955,77.0154852,"No.47, Co-operative Colony,, Uppilipalayam Uppilipalayam-641015 Coimbatore Tamil Nadu",,Tamil Nadu,India,Textile,,https://www.acsentex.com,0422-4384844 /099449 35084,reg.off@acsen.in mill1@acsentex.com,,Manufacturer,Yarn,"Single Yarns (Ne. 20, 40, 50, 60 Combed Hsy Yarn in grey form for both Knitting & weaving use)|Cotton Mix Yarns (Indian, West African, Giza Blend, 100% Giza, 100% Pima)","""person 1 name=Chitra Senthilnathan, person 1 role=Director, person 1 number=, person 1 email=reg.off@acsentex.com, person 2 name=T Sathiyaseelan, person 2 role=, person 2 number=63691 75878, person 2 email=""",
active clothing co ltd,30.7116055,76.6939719,"Plot No. E-225, Phase 8B, Industrial Area, Chandigarh-160059 Mohali Punjab",Mohali,Punjab,India,Textile,,no website,0172-4313300,csco@activesourcing.org,,,,,"""""",
acv products pvt ltd,10.16747,77.8489223,"Survey No. 110/3, Nilakottai Salaiputhur Road Kodandinaickenpatti Nilakottai-624208 Dindigul Tamil Nadu",Nilakkottai,Tamil Nadu,India,Textile,,https://www.acvmills.com,0-73730 77976,acvppltd@yahoo.com,,,,,"""person 1 name=R Senthil Kumar, person 1 role=, person 1 number=0-73730 77976, person 1 email=, person 2 name=Chandrasekaran Alwarsamy, person 2 role=Director, person 2 number=, person 2 email=acvppltd@yahoo.com""",
adarsh knitwear pvt ltd,11.1527794,77.313059,"No. 1/H, Thanneer Panthal Colony, Anupparpalayam Post, Avinashi Road, Anupparpalayam-641652 Pollachi Coimbatore Tamil Nadu",Ammapalayam,Tamil Nadu,India,Textile,,https://www.adarshknitwear.com,0421 2259999,rajendran@adarshknitwear.com accounts1@adarshknitwear.com,,Manufacturer|Exporter,Knitted Apparel|Men's Apparel|Women's Apparel|Boys' Apparel|Girls' Apparel|Innerwear,T-shirts|Polos|Tank tops|Vests|Pullovers|Sweatshirts|Pyjamas|Briefs|Boxer shorts,"""person 1 name=Kuppusamy Rajendran, person 1 role=Director, person 1 number=, person 1 email=rajendran@adarshknitwear.com, person 2 name=Adarsh Saran Kuppusamy Rajendran, person 2 role=Director, person 2 number=, person 2 email=accounts1@adarshknitwear.com""",
adarsh textiles,21.138991,72.8365427,"Plot No B-59, Rahul Filaments, Jawahar Road-3, Udhna-394210 Surat Gujarat",,Gujarat,India,Textile,,https://www.adarshtextile.com,0-9824141499 /0261-2890331,,,,,,"""person 1 name=Shailesh Mody, person 1 role=Director, person 1 number=, person 1 email=""",
addwin exports,10.964229,78.0645722,"No.149/A, M.G. Road, Bharathi Nagar, Karur-639002 Karur Tamil Nadu",Karur,Tamil Nadu,India,Textile,,no website,"04324 - 231305 /233205 /98433-33877, 98431-32277",addwin@addwin.in murugeshs@addwin.in,,,,,"""person 1 name=A P Shanmugam, person 1 role=Director, person 1 number=98431-32277, person 1 email=, person 2 name=A P S Periyaswamy, person 2 role=Director, person 2 number=98433-33877, person 2 email=""",
